scen,bus,tech,gid,year,level,marginal,latitude,longitude,area,baskv,bus_name,ord,isbb,isei,islf,ispoi,iso
1,100002,CC,15,2031,409.2612609863281,0.0,44.739995,-68.752796,101,345.0,ORRINGTON,6,0,0.0,0,0,ISONE
1,100002,CC,15,2036,409.2612609863281,0.0,44.739995,-68.752796,101,345.0,ORRINGTON,6,0,0.0,0,0,ISONE
1,100002,CC,15,2041,409.2612609863281,0.0,44.739995,-68.752796,101,345.0,ORRINGTON,6,0,0.0,0,0,ISONE
1,100002,CC,15,2046,409.2612609863281,0.0,44.739995,-68.752796,101,345.0,ORRINGTON,6,0,0.0,0,0,ISONE
1,100002,CC,15,2051,409.2612609863281,0.0,44.739995,-68.752796,101,345.0,ORRINGTON,6,0,0.0,0,0,ISONE
1,100002,Solar,546,2051,1176.13763079,0.0,44.739995,-68.752796,101,345.0,ORRINGTON,6,0,0.0,0,0,ISONE
1,100002,Wind,897,2051,588.0,0.0,44.739995,-68.752796,101,345.0,ORRINGTON,6,0,0.0,0,0,ISONE
1,100005,Solar,547,2046,1862.699896418261,0.0,44.2970604276324,-69.5562167639067,101,345.0,COOPERS MILL,6,0,0.0,0,0,ISONE
1,100005,Solar,547,2051,4172.0927554,0.0,44.2970604276324,-69.5562167639067,101,345.0,COOPERS MILL,6,0,0.0,0,0,ISONE
1,100005,Wind,898,2051,354.0,0.0,44.2970604276324,-69.5562167639067,101,345.0,COOPERS MILL,6,0,0.0,0,0,ISONE
1,100007,Solar,548,2051,1937.9258859,0.0,43.78140143,-70.20362106,101,345.0,RAVEN FARM,6,0,0.0,0,0,ISONE
1,100086,Solar,549,2051,1587.5562806,0.0,43.953587301,-69.695438179,101,345.0,MAINE YANKEE,6,0,0.0,0,1,ISONE
1,100086,Wind,899,2051,108.0,0.0,43.953587301,-69.695438179,101,345.0,MAINE YANKEE,6,0,0.0,0,1,ISONE
1,100087,Solar,550,2031,20.2,0.0,43.93189,-70.20332,101,345.0,SUROWIEC,6,0,0.0,0,0,ISONE
1,100087,Solar,550,2036,20.2,0.0,43.93189,-70.20332,101,345.0,SUROWIEC,6,0,0.0,0,0,ISONE
1,100087,Solar,550,2041,20.2,0.0,43.93189,-70.20332,101,345.0,SUROWIEC,6,0,0.0,0,0,ISONE
1,100087,Solar,550,2046,20.2,0.0,43.93189,-70.20332,101,345.0,SUROWIEC,6,0,0.0,0,0,ISONE
1,100087,Solar,550,2051,4064.2004307999996,0.0,43.93189,-70.20332,101,345.0,SUROWIEC,6,0,0.0,0,0,ISONE
1,100088,Solar,551,2046,86.16989619,0.0,43.75118,-70.15541,101,345.0,YARMOUTH,6,0,0.0,0,1,ISONE
1,100088,Solar,551,2051,86.16989619,0.0,43.75118,-70.15541,101,345.0,YARMOUTH,6,0,0.0,0,1,ISONE
1,100090,Solar,552,2051,3235.2703398,0.0,43.66327,-70.55321,101,345.0,BUXTON,6,0,0.0,0,0,ISONE
1,100090,Wind,900,2051,186.0,0.0,43.66327,-70.55321,101,345.0,BUXTON,6,0,0.0,0,0,ISONE
1,100092,Hydro,357,2031,125.06,0.0,44.574181320833,-69.5091403468359,101,345.0,ALBION ROAD,6,0,0.0,0,0,ISONE
1,100092,Hydro,357,2036,125.06,0.0,44.574181320833,-69.5091403468359,101,345.0,ALBION ROAD,6,0,0.0,0,0,ISONE
1,100092,Hydro,357,2041,125.06,0.0,44.574181320833,-69.5091403468359,101,345.0,ALBION ROAD,6,0,0.0,0,0,ISONE
1,100092,Hydro,357,2046,125.06,0.0,44.574181320833,-69.5091403468359,101,345.0,ALBION ROAD,6,0,0.0,0,0,ISONE
1,100092,Hydro,357,2051,125.06,0.0,44.574181320833,-69.5091403468359,101,345.0,ALBION ROAD,6,0,0.0,0,0,ISONE
1,100092,OilST,476,2031,62.11,0.0,44.574181320833,-69.5091403468359,101,345.0,ALBION ROAD,6,0,0.0,0,0,ISONE
1,100092,OilST,476,2036,62.11,0.0,44.574181320833,-69.5091403468359,101,345.0,ALBION ROAD,6,0,0.0,0,0,ISONE
1,100092,OilST,476,2041,62.11,0.0,44.574181320833,-69.5091403468359,101,345.0,ALBION ROAD,6,0,0.0,0,0,ISONE
1,100092,OilST,476,2046,62.11,0.0,44.574181320833,-69.5091403468359,101,345.0,ALBION ROAD,6,0,0.0,0,0,ISONE
1,100092,Solar,553,2051,4975.14271442,0.0,44.574181320833,-69.5091403468359,101,345.0,ALBION ROAD,6,0,0.0,0,0,ISONE
1,100092,Wind,901,2031,148.5,0.0,44.574181320833,-69.5091403468359,101,345.0,ALBION ROAD,6,0,0.0,0,0,ISONE
1,100092,Wind,901,2036,148.5,0.0,44.574181320833,-69.5091403468359,101,345.0,ALBION ROAD,6,0,0.0,0,0,ISONE
1,100092,Wind,901,2041,148.5,0.0,44.574181320833,-69.5091403468359,101,345.0,ALBION ROAD,6,0,0.0,0,0,ISONE
1,100092,Wind,901,2046,148.5,0.0,44.574181320833,-69.5091403468359,101,345.0,ALBION ROAD,6,0,0.0,0,0,ISONE
1,100092,Wind,901,2051,1864.5,0.0,44.574181320833,-69.5091403468359,101,345.0,ALBION ROAD,6,0,0.0,0,0,ISONE
1,100095,Hydro,358,2031,75.46,0.0,44.14111209,-70.1860430209999,101,345.0,LARRABEE RD,6,0,0.0,0,0,ISONE
1,100095,Hydro,358,2036,75.46,0.0,44.14111209,-70.1860430209999,101,345.0,LARRABEE RD,6,0,0.0,0,0,ISONE
1,100095,Hydro,358,2041,75.46,0.0,44.14111209,-70.1860430209999,101,345.0,LARRABEE RD,6,0,0.0,0,0,ISONE
1,100095,Hydro,358,2046,75.46,0.0,44.14111209,-70.1860430209999,101,345.0,LARRABEE RD,6,0,0.0,0,0,ISONE
