scen,bus,tech,gid,year,level,marginal,latitude,longitude,area,baskv,bus_name,ord,isbb,isei,islf,ispoi,iso
1,100092,OilST,476,2051,62.11,0.0,44.574181320833,-69.5091403468359,101,345.0,ALBION ROAD,6,0,0.0,0,0,ISONE
1,100182,Biomass,0,2031,38.31,0.0,44.531653251,-70.5229981549999,101,115.0,RUMFORD IP,6,0,0.0,0,0,ISONE
1,100185,Biomass,1,2031,52.55,0.0,43.656815165,-70.3761190799999,101,115.0,WESTBROOK,6,0,0.0,0,0,ISONE
1,100211,Biomass,2,2031,129.0,0.0,44.5533939250001,-70.5420567309999,101,115.0,NEWPAGEPAPER,6,0,0.0,0,0,ISONE
1,103028,Biomass,3,2031,552.16,0.0,44.82418441,-68.705469114,101,115.0,GRAHAM,6,0,0.0,0,0,ISONE
1,103028,OilST,477,2051,25.31,0.0,44.82418441,-68.705469114,101,115.0,GRAHAM,6,0,0.0,0,0,ISONE
1,104095,CoalST,228,2036,157.15,0.0,43.141714233,-71.1848028079999,101,345.0,DEERFIELD,6,0,0.0,0,0,ISONE
1,104494,Biomass,4,2031,23.41,0.0,43.140607974,-71.4700743449999,101,115.0,MERRIMACK-1,6,0,0.0,0,0,ISONE
1,104494,CoalST,229,2036,498.98,0.0,43.140607974,-71.4700743449999,101,115.0,MERRIMACK-1,6,0,0.0,0,0,ISONE
1,106012,Biomass,5,2031,114.15,0.0,42.8739,-71.43917,101,230.0,N.LITCHFLD1,6,0,0.0,0,0,ISONE
1,106012,Wind,914,2031,37.82,0.0,42.8739,-71.43917,101,230.0,N.LITCHFLD1,6,0,0.0,0,0,ISONE
1,111193,CoalST,230,2036,595.09,0.0,41.7694,-70.5097,101,345.0,CANAL,6,0,0.0,0,1,ISONE
1,113265,OilST,479,2051,45.32,0.0,42.360306919,-71.7759062629999,101,345.0,WACHUSETT,6,0,0.0,0,0,ISONE
1,113952,Biomass,7,2031,40.0,0.0,42.744239406,-71.1136983409999,101,345.0,WARD HILL,6,0,0.0,0,0,ISONE
1,114476,Biomass,8,2031,36.41,0.0,42.505261779,-71.0416548699999,101,345.0,WAKEFLD JCT,6,0,0.0,0,0,ISONE
1,125002,CoalST,231,2036,1193.2,0.0,41.5716331786993,-73.9746583079408,7,345.0,ROSETON,6,0,0.0,0,0,NYISO
1,126261,CoalST,232,2036,573.6,0.0,41.2044,-73.9689,7,345.0,BOWLINE2,6,0,0.0,0,0,NYISO
1,126283,CoalST,233,2036,514.6,0.0,40.617187,-74.195033,10,345.0,GOTHLS,6,0,0.0,0,1,NYISO
1,129202,Wind,928,2031,54.77,0.0,40.618464,-73.648005,11,138.0,BARRETT1,6,0,0.0,0,1,NYISO
1,129460,Wind,929,2031,136.0,0.0,40.8194537100001,-72.938749026,11,138.0,SILLS RD,6,0,0.0,0,0,NYISO
1,130755,Solar,616,2031,40.0,0.0,42.136550931,-75.9822064009999,3,345.0,OAKDL345,6,0,0.0,0,0,NYISO
1,130755,Wind,933,2031,225.0,0.0,42.136550931,-75.9822064009999,3,345.0,OAKDL345,6,0,0.0,0,0,NYISO
1,131122,Solar,619,2031,20.0,0.0,42.72638578,-78.19162575,3,230.0,WTHRS230,6,0,0.0,0,0,NYISO
1,136154,CoalST,234,2036,761.7,0.0,43.4556723932378,-76.531453275925,3,345.0,OSWEGO,6,0,0.0,0,0,NYISO
1,136158,CoalST,235,2036,630.6,0.0,43.495,-76.4508,3,345.0,INDEPNDC,6,0,0.0,0,0,NYISO
1,137200,Solar,629,2031,75.03,0.0,43.157565662,-75.2271199389999,5,345.0,EDIC,6,0,0.0,0,0,NYISO
1,146750,CoalST,236,2036,586.0,0.0,41.201686151,-73.994233395,7,345.0,WHAV345,6,0,0.0,0,0,NYISO
1,146754,Solar,636,2031,22.5,0.0,41.428318125,-74.417886285,7,345.0,MDTN TAP,6,0,0.0,0,0,NYISO
1,147834,Solar,640,2031,103.02,0.0,43.1045221693489,-79.025126593413,1,345.0,NIAG 345,6,0,0.0,0,0,NYISO
1,149001,Wind,959,2031,41.75,0.0,43.055457279,-77.3842033159999,2,345.0,PANNELL3,6,0,0.0,0,0,NYISO
1,149024,CoalST,237,2036,180.12065530511956,0.0,43.2779279065279,-77.3073040633849,2,115.0,GINNA115,6,0,0.0,0,0,NYISO
1,149024,CoalST,237,2051,399.47934469488047,0.0,43.2779279065279,-77.3073040633849,2,115.0,GINNA115,6,0,0.0,0,0,NYISO
1,200074,CoalST,238,2036,1125.0,0.0,41.49712,-75.6092,229,500.0,LACK,6,0,0.0,0,0,PJM
1,200595,CoalST,239,2051,85.0,0.0,41.514,-80.0073,226,345.0,26WAYNE,6,0,0.0,0,0,PJM
1,200769,CoalST,240,2036,620.0,0.0,40.5175,-79.194,226,345.0,26HOMER CY,6,0,0.0,0,0,PJM
1,200769,Wind,973,2031,38.0,0.0,40.5175,-79.194,226,345.0,26HOMER CY,6,0,0.0,0,0,PJM
1,200793,CoalST,241,2036,502.8482670528674,0.0,40.40664,-79.0311,226,230.0,26SEWARD 2,6,0,0.0,0,0,PJM
1,200793,CoalST,241,2051,22.851732947132632,0.0,40.40664,-79.0311,226,230.0,26SEWARD 2,6,0,0.0,0,0,PJM
1,200793,Wind,974,2031,542.6,0.0,40.40664,-79.0311,226,230.0,26SEWARD 2,6,0,0.0,0,0,PJM
1,204508,CoalST,242,2036,94.0,0.0,40.4218,-75.9285,227,230.0,27N.TEMPLE,6,0,0.0,0,0,PJM
1,206229,Solar,679,2031,57.74,0.0,40.5157,-74.8455,228,230.0,28E FLEM,6,0,0.0,0,0,PJM
1,206236,Solar,681,2031,10.5,0.0,40.5689,-75.1623,228,230.0,28GILBERT,6,0,0.0,0,0,PJM
1,206247,Solar,683,2031,10.0,0.0,40.8403,-74.8721,228,230.0,28POHATCNG,6,0,0.0,0,0,PJM
1,206247,Wind,982,2031,10.3,0.0,40.8403,-74.8721,228,230.0,28POHATCNG,6,0,0.0,0,0,PJM
1,206255,Solar,684,2031,19.7,0.0,40.9073,-74.5974,228,230.0,28W WHRTN,6,0,0.0,0,0,PJM
