scen,from,to,lid,year,level,marginal,bus,latitude_i,longitude_i,area_i,baskv_i,bus_name_i,ord_i,isbb_i,isei_i,islf_i,ispoi_i,iso_i,latitude_j,longitude_j,area_j,baskv_j,bus_name_j,ord_j,isbb_j,isei_j,islf_j,ispoi_j,iso_j,order_from,order_to,islf,isrc,isosg
1,100002,100005,0,2051,162.29181741069442,0.0,100002,44.739995,-68.752796,101,345.0,ORRINGTON,6,0,0.0,0,0,ISONE,44.2970604276324,-69.5562167639067,101,345.0,COOPERS MILL,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,100002,100210,2,2051,113.83645481871943,0.0,100002,44.739995,-68.752796,101,345.0,ORRINGTON,6,0,0.0,0,0,ISONE,44.574799485,-68.8061150859999,101,115.0,BUCKSPORT,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,100002,103002,3,2051,2673.0024650446258,0.0,100002,44.739995,-68.752796,101,345.0,ORRINGTON,6,0,0.0,0,0,ISONE,45.394837963,-68.5295635439999,101,345.0,KEENE ROAD 2,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,100002,103028,4,2051,589.2055079918306,0.0,100002,44.739995,-68.752796,101,345.0,ORRINGTON,6,0,0.0,0,0,ISONE,44.82418441,-68.705469114,101,115.0,GRAHAM,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,100005,100086,5,2051,3649.711652851349,0.0,100005,44.2970604276324,-69.5562167639067,101,345.0,COOPERS MILL,6,0,0.0,0,0,ISONE,43.953587301,-69.695438179,101,345.0,MAINE YANKEE,6,0,0.0,0,1,ISONE,6,6,False,False,False
1,100005,100087,6,2051,29.910431697676145,0.0,100005,44.2970604276324,-69.5562167639067,101,345.0,COOPERS MILL,6,0,0.0,0,0,ISONE,43.93189,-70.20332,101,345.0,SUROWIEC,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,100005,100092,7,2051,1786.124542763339,0.0,100005,44.2970604276324,-69.5562167639067,101,345.0,COOPERS MILL,6,0,0.0,0,0,ISONE,44.574181320833,-69.5091403468359,101,345.0,ALBION ROAD,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,100005,100095,8,2051,840.0641229237945,0.0,100005,44.2970604276324,-69.5562167639067,101,345.0,COOPERS MILL,6,0,0.0,0,0,ISONE,44.14111209,-70.1860430209999,101,345.0,LARRABEE RD,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,100005,100210,10,2051,33.09576518788964,0.0,100005,44.2970604276324,-69.5562167639067,101,345.0,COOPERS MILL,6,0,0.0,0,0,ISONE,44.574799485,-68.8061150859999,101,115.0,BUCKSPORT,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,100005,103028,11,2051,30.801426159698337,0.0,100005,44.2970604276324,-69.5562167639067,101,345.0,COOPERS MILL,6,0,0.0,0,0,ISONE,44.82418441,-68.705469114,101,115.0,GRAHAM,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,100007,100087,12,2051,1922.966277470154,0.0,100007,43.78140143,-70.20362106,101,345.0,RAVEN FARM,6,0,0.0,0,0,ISONE,43.93189,-70.20332,101,345.0,SUROWIEC,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,100007,100089,14,2051,1734.080840545177,0.0,100007,43.78140143,-70.20362106,101,345.0,RAVEN FARM,6,0,0.0,0,0,ISONE,43.6444858102713,-70.4323961830728,101,345.0,SOUTH GORHAM,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,100086,100087,15,2051,2669.546706877532,0.0,100086,43.953587301,-69.695438179,101,345.0,MAINE YANKEE,6,0,0.0,0,1,ISONE,43.93189,-70.20332,101,345.0,SUROWIEC,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,100086,100092,16,2051,39.135159426122286,0.0,100086,43.953587301,-69.695438179,101,345.0,MAINE YANKEE,6,0,0.0,0,1,ISONE,44.574181320833,-69.5091403468359,101,345.0,ALBION ROAD,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,100086,100185,18,2051,25.456371835754275,0.0,100086,43.953587301,-69.695438179,101,345.0,MAINE YANKEE,6,0,0.0,0,1,ISONE,43.656815165,-70.3761190799999,101,115.0,WESTBROOK,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,100086,100210,19,2051,49.159464951711925,0.0,100086,43.953587301,-69.695438179,101,345.0,MAINE YANKEE,6,0,0.0,0,1,ISONE,44.574799485,-68.8061150859999,101,115.0,BUCKSPORT,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,100087,100089,20,2051,21.98617603014473,0.0,100087,43.93189,-70.20332,101,345.0,SUROWIEC,6,0,0.0,0,0,ISONE,43.6444858102713,-70.4323961830728,101,345.0,SOUTH GORHAM,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,100087,100090,21,2051,4296.572469588545,0.0,100087,43.93189,-70.20332,101,345.0,SUROWIEC,6,0,0.0,0,0,ISONE,43.66327,-70.55321,101,345.0,BUXTON,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,100087,100095,22,2051,2150.4759092590257,0.0,100087,43.93189,-70.20332,101,345.0,SUROWIEC,6,0,0.0,0,0,ISONE,44.14111209,-70.1860430209999,101,345.0,LARRABEE RD,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,100087,100182,23,2051,104.53502863058193,0.0,100087,43.93189,-70.20332,101,345.0,SUROWIEC,6,0,0.0,0,0,ISONE,44.531653251,-70.5229981549999,101,115.0,RUMFORD IP,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,100087,100185,24,2051,37.726287112892436,0.0,100087,43.93189,-70.20332,101,345.0,SUROWIEC,6,0,0.0,0,0,ISONE,43.656815165,-70.3761190799999,101,115.0,WESTBROOK,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,100089,100098,26,2051,1937.6551500576481,0.0,100089,43.6444858102713,-70.4323961830728,101,345.0,SOUTH GORHAM,6,0,0.0,0,0,ISONE,43.39694,-70.617393,101,345.0,MAGUIRE ROAD,6,0,0.0,0,1,ISONE,6,6,False,False,False
1,100090,100575,28,2051,2883.8365054244177,0.0,100090,43.66327,-70.55321,101,345.0,BUXTON,6,0,0.0,0,0,ISONE,43.644216225,-70.4323739929999,101,345.0,LONEPINE_POI,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,100090,104095,29,2051,2927.957718149373,0.0,100090,43.66327,-70.55321,101,345.0,BUXTON,6,0,0.0,0,0,ISONE,43.141714233,-71.1848028079999,101,345.0,DEERFIELD,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,100092,100095,30,2051,36.72618913888694,0.0,100092,44.574181320833,-69.5091403468359,101,345.0,ALBION ROAD,6,0,0.0,0,0,ISONE,44.14111209,-70.1860430209999,101,345.0,LARRABEE RD,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,100095,100182,33,2051,361.61852279173763,0.0,100095,44.14111209,-70.1860430209999,101,345.0,LARRABEE RD,6,0,0.0,0,0,ISONE,44.531653251,-70.5229981549999,101,115.0,RUMFORD IP,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,100095,100185,34,2051,56.5039943910366,0.0,100095,44.14111209,-70.1860430209999,101,345.0,LARRABEE RD,6,0,0.0,0,0,ISONE,43.656815165,-70.3761190799999,101,115.0,WESTBROOK,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,100095,100211,35,2051,36.79741798226006,0.0,100095,44.14111209,-70.1860430209999,101,345.0,LARRABEE RD,6,0,0.0,0,0,ISONE,44.5533939250001,-70.5420567309999,101,115.0,NEWPAGEPAPER,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,100098,100185,36,2051,45.88653092521895,0.0,100098,43.39694,-70.617393,101,345.0,MAGUIRE ROAD,6,0,0.0,0,1,ISONE,43.656815165,-70.3761190799999,101,115.0,WESTBROOK,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,100098,103710,37,2051,2624.960897722652,0.0,100098,43.39694,-70.617393,101,345.0,MAGUIRE ROAD,6,0,0.0,0,1,ISONE,43.167643457,-70.8177316849999,101,345.0,ELIOT,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,100098,104095,38,2051,67.24698932260466,0.0,100098,43.39694,-70.617393,101,345.0,MAGUIRE ROAD,6,0,0.0,0,1,ISONE,43.141714233,-71.1848028079999,101,345.0,DEERFIELD,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,100098,104143,39,2051,83.33177884885947,0.0,100098,43.39694,-70.617393,101,345.0,MAGUIRE ROAD,6,0,0.0,0,1,ISONE,42.904856709,-71.3421055039999,101,345.0,SCOBIE POND,6,0,0.0,0,0,ISONE,6,6,False,False,False
